ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status
S00000004,SP01,P14,G2,05-May-23,7107.75,285,Delivered
S00000009,SP01,P14,G4,22-Aug-23,8664.75,377,Cancelled
S00000013,SP01,P14,G6,23-Oct-23,2346.75,103,Delivered
S00000032,SP01,P14,G2,06-Jun-23,4234.5,152,Delivered
S00000033,SP01,P14,G2,03-Dec-24,9252,421,Delivered
S00000037,SP01,P14,G4,17-Jul-23,904.5,33,Delivered
S00000043,SP01,P14,G1,02-Oct-24,355.5,14,Delivered
S00000047,SP01,P14,G2,24-Jul-23,513,23,Delivered
S00000048,SP01,P14,G3,26-Jul-23,5382,216,Delivered
S00000059,SP01,P01,G1,21-Mar-25,569.25,26,Placed
S00000062,SP01,P01,G3,14-Aug-24,1291.5,65,Delivered
S00000063,SP01,P01,G4,10-Oct-24,11313,539,Delivered
S00000080,SP01,P01,G5,10-Feb-25,6059.25,289,Shipped
S00000085,SP01,P01,G1,10-Jul-24,3163.5,159,Delivered
S00000093,SP01,P01,G4,09-Apr-24,9659.25,460,Delivered
S00000094,SP01,P01,G5,06-Apr-23,4740.75,198,Delivered
S00000095,SP01,P01,G5,21-Dec-23,8433,338,Delivered
S00000100,SP01,P01,G1,29-May-23,9297,358,Delivered
S00000109,SP01,P01,G5,23-Oct-23,3694.5,143,Delivered
S00000117,SP01,P06,G2,04-Mar-24,4731.75,474,Delivered
S00000121,SP01,P06,G4,06-Sep-23,13299.75,1109,Delivered
S00000128,SP01,P06,G1,19-Feb-24,931.5,85,Delivered
S00000145,SP01,P06,G2,06-Dec-24,1917,175,Delivered
S00000149,SP01,P06,G4,15-Nov-23,16467.75,2059,Delivered
S00000150,SP01,P06,G5,28-Jan-25,1377,115,Shipped
S00000151,SP01,P06,G5,22-Feb-23,1849.5,265,Delivered
S00000152,SP01,P06,G5,17-Jan-25,1593,200,Shipped
S00000156,SP01,P06,G1,20-Feb-23,2310.75,178,Delivered
S00000161,SP01,P06,G4,18-Jan-23,7980.75,726,Delivered
